Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,specific_host,SRA Study
SRR639384,AMPLICON,474,28526471,PRJNA168470,SAMN01048353,72065896,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX212409,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A02,Homo sapiens,SRP017161
SRR639385,AMPLICON,478,23696650,PRJNA168470,SAMN01048354,60485897,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX212410,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A03,Homo sapiens,SRP017161
SRR639386,AMPLICON,476,20551699,PRJNA168470,SAMN01048355,52017915,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX212411,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A04,Homo sapiens,SRP017161
SRR639387,AMPLICON,470,27839992,PRJNA168470,SAMN01048356,70262673,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX212412,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A05,Homo sapiens,SRP017161
SRR639388,AMPLICON,481,21609396,PRJNA168470,SAMN01048357,54561565,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,ncbi","gs.US,ncbi.public",SRX212413,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A06,Homo sapiens,SRP017161
SRR639389,AMPLICON,478,25399648,PRJNA168470,SAMN01048358,64270387,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX212414,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A07,Homo sapiens,SRP017161
SRR639390,AMPLICON,482,20133329,PRJNA168470,SAMN01048359,50746888,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,gs","ncbi.public,gs.US",SRX212415,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A08,Homo sapiens,SRP017161
SRR639391,AMPLICON,475,24344088,PRJNA168470,SAMN01048360,61473518,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX212416,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A09,Homo sapiens,SRP017161
SRR639392,AMPLICON,473,23538840,PRJNA168470,SAMN01048361,58922017,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX212417,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A10,Homo sapiens,SRP017161
SRR639393,AMPLICON,476,23035661,PRJNA168470,SAMN01048362,58110757,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX212418,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A11,Homo sapiens,SRP017161
SRR639394,AMPLICON,469,28579605,PRJNA168470,SAMN01048363,72381321,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX212419,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A12,Homo sapiens,SRP017161
SRR639395,AMPLICON,485,23567492,PRJNA168470,SAMN01048364,58849553,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX212420,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A13,Homo sapiens,SRP017161
SRR639396,AMPLICON,481,23609019,PRJNA168470,SAMN01048365,59375968,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX212421,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A14,Homo sapiens,SRP017161
SRR639397,AMPLICON,487,26590488,PRJNA168470,SAMN01048366,66692011,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX212422,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A15,Homo sapiens,SRP017161
SRR639398,AMPLICON,478,29158040,PRJNA168470,SAMN01048367,74156026,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX212423,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A16,Homo sapiens,SRP017161
SRR639399,AMPLICON,471,27519707,PRJNA168470,SAMN01048368,70214679,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX212424,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A17,Homo sapiens,SRP017161
SRR639400,AMPLICON,490,27003805,PRJNA168470,SAMN01048369,67342317,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX212425,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A18,Homo sapiens,SRP017161
SRR639401,AMPLICON,473,27975632,PRJNA168470,SAMN01048370,70568923,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX212426,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A19,Homo sapiens,SRP017161
