Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR10442279,Targeted-Capture,253,22714089,PRJNA589343,SAMN13281102,Metagenome or environmental,6737417,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7137130,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD10,feces,missing,ASD10,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD10,SRP229792
SRR10442280,Targeted-Capture,252,22888018,PRJNA589343,SAMN13281182,Metagenome or environmental,6884705,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7137129,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs13,feces,missing,HCs13,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs13,SRP229792
SRR10442281,Targeted-Capture,252,21121130,PRJNA589343,SAMN13281181,Metagenome or environmental,6495747,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7137128,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs12,feces,missing,HCs12,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs12,SRP229792
SRR10442282,Targeted-Capture,252,8266589,PRJNA589343,SAMN13281180,Metagenome or environmental,2480077,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7137127,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs11,feces,missing,HCs11,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs11,SRP229792
SRR10442283,Targeted-Capture,252,11482522,PRJNA589343,SAMN13281179,Metagenome or environmental,5647926,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7137126,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs10,feces,missing,HCs10,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs10,SRP229792
SRR10442284,Targeted-Capture,252,21247768,PRJNA589343,SAMN13281178,Metagenome or environmental,6371263,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137125,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs9,feces,missing,HCs9,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs9,SRP229792
SRR10442285,Targeted-Capture,252,20904118,PRJNA589343,SAMN13281177,Metagenome or environmental,6242799,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7137124,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs8,feces,missing,HCs8,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs8,SRP229792
SRR10442286,Targeted-Capture,252,22020945,PRJNA589343,SAMN13281176,Metagenome or environmental,6511453,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7137123,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs7,feces,missing,HCs7,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs7,SRP229792
SRR10442287,Targeted-Capture,252,23093438,PRJNA589343,SAMN13281175,Metagenome or environmental,6723830,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7137122,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs6,feces,missing,HCs6,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs6,SRP229792
SRR10442288,Targeted-Capture,252,19967635,PRJNA589343,SAMN13281174,Metagenome or environmental,5940250,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7137121,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs5,feces,missing,HCs5,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs5,SRP229792
SRR10442289,Targeted-Capture,252,20822602,PRJNA589343,SAMN13281173,Metagenome or environmental,6198554,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7137120,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs4,feces,missing,HCs4,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs4,SRP229792
SRR10442290,Targeted-Capture,252,21048094,PRJNA589343,SAMN13281101,Metagenome or environmental,6296293,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7137119,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD9,feces,missing,ASD9,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD9,SRP229792
SRR10442291,Targeted-Capture,252,20995090,PRJNA589343,SAMN13281172,Metagenome or environmental,6298753,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137118,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs3,feces,missing,HCs3,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs3,SRP229792
SRR10442292,Targeted-Capture,252,22564263,PRJNA589343,SAMN13281171,Metagenome or environmental,6690386,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7137117,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs2,feces,missing,HCs2,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs2,SRP229792
SRR10442293,Targeted-Capture,252,21789703,PRJNA589343,SAMN13281170,Metagenome or environmental,6403904,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7137116,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs1,feces,missing,HCs1,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs1,SRP229792
SRR10442294,Targeted-Capture,252,12722650,PRJNA589343,SAMN13281169,Metagenome or environmental,3799204,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7137115,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD77,feces,missing,ASD77,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD77,SRP229792
SRR10442295,Targeted-Capture,252,21204947,PRJNA589343,SAMN13281168,Metagenome or environmental,6386587,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7137114,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD76,feces,missing,ASD76,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD76,SRP229792
SRR10442296,Targeted-Capture,252,21879322,PRJNA589343,SAMN13281167,Metagenome or environmental,6575329,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7137113,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD75,feces,missing,ASD75,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD75,SRP229792
SRR10442297,Targeted-Capture,252,20531888,PRJNA589343,SAMN13281166,Metagenome or environmental,6158684,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7137112,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD74,feces,missing,ASD74,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD74,SRP229792
SRR10442298,Targeted-Capture,252,22378829,PRJNA589343,SAMN13281165,Metagenome or environmental,6706568,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7137111,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD73,feces,missing,ASD73,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD73,SRP229792
SRR10442299,Targeted-Capture,252,19206754,PRJNA589343,SAMN13281164,Metagenome or environmental,5660577,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7137110,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD72,feces,missing,ASD72,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD72,SRP229792
SRR10442300,Targeted-Capture,252,20220175,PRJNA589343,SAMN13281163,Metagenome or environmental,6055588,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7137109,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD71,feces,missing,ASD71,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD71,SRP229792
SRR10442301,Targeted-Capture,252,10522862,PRJNA589343,SAMN13281100,Metagenome or environmental,3126588,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7137108,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD8,feces,missing,ASD8,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD8,SRP229792
SRR10442302,Targeted-Capture,252,2669456,PRJNA589343,SAMN13281162,Metagenome or environmental,857804,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7137107,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD70,feces,missing,ASD70,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD70,SRP229792
SRR10442303,Targeted-Capture,252,22982664,PRJNA589343,SAMN13281161,Metagenome or environmental,6753634,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7137106,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD69,feces,missing,ASD69,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD69,SRP229792
SRR10442304,Targeted-Capture,252,22032558,PRJNA589343,SAMN13281160,Metagenome or environmental,6503800,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137105,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD68,feces,missing,ASD68,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD68,SRP229792
SRR10442305,Targeted-Capture,252,21882860,PRJNA589343,SAMN13281159,Metagenome or environmental,6456535,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7137104,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD67,feces,missing,ASD67,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD67,SRP229792
SRR10442306,Targeted-Capture,252,22360489,PRJNA589343,SAMN13281158,Metagenome or environmental,6705795,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7137103,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD66,feces,missing,ASD66,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD66,SRP229792
SRR10442307,Targeted-Capture,252,19631109,PRJNA589343,SAMN13281157,Metagenome or environmental,5940060,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7137102,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD65,feces,missing,ASD65,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD65,SRP229792
SRR10442308,Targeted-Capture,252,22322990,PRJNA589343,SAMN13281156,Metagenome or environmental,6561931,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7137101,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD64,feces,missing,ASD64,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD64,SRP229792
SRR10442309,Targeted-Capture,252,19000220,PRJNA589343,SAMN13281155,Metagenome or environmental,5662006,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7137100,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD63,feces,missing,ASD63,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD63,SRP229792
SRR10442310,Targeted-Capture,252,23285592,PRJNA589343,SAMN13281154,Metagenome or environmental,6725351,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7137099,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD62,feces,missing,ASD62,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD62,SRP229792
SRR10442311,Targeted-Capture,252,21602255,PRJNA589343,SAMN13281153,Metagenome or environmental,6393325,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137098,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD61,feces,missing,ASD61,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD61,SRP229792
SRR10442312,Targeted-Capture,253,15689704,PRJNA589343,SAMN13281099,Metagenome or environmental,4687886,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7137097,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD7,feces,missing,ASD7,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD7,SRP229792
SRR10442313,Targeted-Capture,252,22527426,PRJNA589343,SAMN13281152,Metagenome or environmental,6719611,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7137096,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD60,feces,missing,ASD60,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD60,SRP229792
SRR10442314,Targeted-Capture,252,21826373,PRJNA589343,SAMN13281151,Metagenome or environmental,6381033,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7137095,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD59,feces,missing,ASD59,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD59,SRP229792
SRR10442315,Targeted-Capture,252,19074753,PRJNA589343,SAMN13281150,Metagenome or environmental,5616178,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7137094,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD58,feces,missing,ASD58,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD58,SRP229792
SRR10442316,Targeted-Capture,252,21290560,PRJNA589343,SAMN13281149,Metagenome or environmental,6262736,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7137093,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD57,feces,missing,ASD57,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD57,SRP229792
SRR10442317,Targeted-Capture,252,20113770,PRJNA589343,SAMN13281148,Metagenome or environmental,5659963,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7137092,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD56,feces,missing,ASD56,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD56,SRP229792
SRR10442318,Targeted-Capture,252,21714158,PRJNA589343,SAMN13281147,Metagenome or environmental,6359329,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137091,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD55,feces,missing,ASD55,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD55,SRP229792
SRR10442319,Targeted-Capture,252,19161030,PRJNA589343,SAMN13281146,Metagenome or environmental,5463570,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7137090,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD54,feces,missing,ASD54,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD54,SRP229792
SRR10442320,Targeted-Capture,252,21072069,PRJNA589343,SAMN13281145,Metagenome or environmental,6467182,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7137089,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD53,feces,missing,ASD53,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD53,SRP229792
SRR10442321,Targeted-Capture,252,18914069,PRJNA589343,SAMN13281144,Metagenome or environmental,5512913,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7137088,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD52,feces,missing,ASD52,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD52,SRP229792
SRR10442322,Targeted-Capture,252,20862926,PRJNA589343,SAMN13281143,Metagenome or environmental,6267871,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7137087,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD51,feces,missing,ASD51,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD51,SRP229792
SRR10442323,Targeted-Capture,253,19838662,PRJNA589343,SAMN13281098,Metagenome or environmental,5893005,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7137086,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD6,feces,missing,ASD6,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD6,SRP229792
SRR10442324,Targeted-Capture,252,19912780,PRJNA589343,SAMN13281142,Metagenome or environmental,5929691,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7137085,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD50,feces,missing,ASD50,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD50,SRP229792
SRR10442325,Targeted-Capture,252,20289457,PRJNA589343,SAMN13281141,Metagenome or environmental,5990787,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7137084,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,ASD49,feces,missing,ASD49,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,ASD49,SRP229792
